episode_in_level,episode_global,reward
1,251,44.844413187587634
2,252,97.38843095605262
3,253,153.41223206184804
4,254,328.0165534289554
5,255,-39.22960568219423
6,256,248.2744830949232
7,257,382.6614092774689
8,258,287.1866517756134
9,259,174.40131672169082
10,260,372.1481869118288
11,261,608.4546958424617
12,262,317.5135943344794
13,263,362.6048890799284
14,264,382.28093772381544
15,265,485.4905140744522
16,266,513.8572299252264
17,267,336.92059625010006
18,268,504.03636495629326
19,269,263.2745765578002
20,270,261.53154308442026
21,271,465.3562250934774
22,272,-18.237065120367333
23,273,433.53176195546985
24,274,258.5069869514555
25,275,302.7655407814309
26,276,252.53141307272017
27,277,112.66742633003742
28,278,390.0090905447141
29,279,387.1917790423613
30,280,204.98638222180307
31,281,346.58784154313616
32,282,360.6040564663708
33,283,352.7840595226735
34,284,408.67803835403174
35,285,126.63285767007619
36,286,250.4061080245301
37,287,293.0095372553915
38,288,440.5234913355671
39,289,164.38915698602796
40,290,399.90339955687523
41,291,324.67864301707596
42,292,231.21727721160278
43,293,261.18055728962645
44,294,224.47372002340853
45,295,453.76877642795444
46,296,233.294952821685
47,297,468.01775243505836
48,298,181.34593644551933
49,299,288.18050169205526
50,300,269.5242648771964
