#{"t_start": 1779614738.088638, "env_id": "None"}
r,l,t
-163.245877,150,32.230812
-69.697517,150,60.521839
-170.093956,150,89.839585
-86.135463,150,119.379559
-243.212248,150,152.14977
-121.2928,150,180.467624
-86.177351,150,207.668087
-151.182118,150,234.257238
-147.862669,150,259.425568
-48.546602,150,286.184183
-131.235211,150,313.979151
-69.286687,150,340.651589
-169.353628,150,367.931736
-131.146642,150,403.580462
-133.958206,150,430.472896
67.48017,150,460.193084
-51.551285,150,486.402552
-58.020368,150,513.790325
-169.670583,150,544.151386
-45.371334,150,571.776974
-61.776816,150,598.206722
-146.452648,150,624.324908
-132.217372,150,652.069522
-39.442829,150,679.497497
32.402326,150,707.66627
-129.31572,150,735.751947
0.270761,150,764.379775
-147.990541,47,780.32271
-154.359126,150,806.706043
-161.840133,150,833.503017
-26.894636,150,859.668888
-120.310068,150,886.058492
-110.823495,150,911.964036
-41.429952,150,937.744085
-49.131995,150,964.332966
-292.166686,150,992.781892
-8.186104,150,1023.857636
-196.605595,150,1052.302312
-32.840656,150,1077.267642
-84.928153,150,1104.47493
-126.752313,150,1131.749712
-269.32267,99,1158.316417
-279.984019,150,1189.791524
146.528282,150,1218.24475
-104.660634,150,1248.551823
-264.694153,150,1273.639514
-275.901835,150,1301.106177
-244.900067,150,1328.050382
-77.899853,150,1353.721074
-4.888626,150,1378.171873
-332.150789,150,1403.118965
