episode,reward,success,arrive_dist
1,-98.69,0,1.0
2,-317.89,0,1.0
3,-161.75,0,1.0
4,-75.69,0,1.0
5,-446.19,0,1.0
6,-323.30,0,1.0
7,-128.20,0,1.0
8,-319.23,0,1.0
9,-314.14,0,1.0
10,-197.18,0,1.0
11,-358.73,0,1.0
12,-388.22,0,1.0
13,-361.84,0,1.0
14,-199.92,0,1.0
15,-531.72,0,1.0
16,-97.73,0,1.0
17,-213.26,0,1.0
18,-311.07,0,1.0
1,-304.51,0,1.0
2,-334.89,0,1.0
3,-310.84,0,1.0
4,-88.81,0,1.0
5,-341.62,0,1.0
6,-316.82,0,1.0
7,-122.26,0,1.0
8,-311.17,0,1.0
9,-338.36,0,1.0
10,-347.35,0,1.0
11,-125.83,0,1.0
12,-247.81,0,1.0
13,-171.15,0,1.0
14,-150.79,0,1.0
15,-321.74,0,1.0
16,-145.15,0,1.0
17,-100.42,0,1.0
18,-309.76,0,1.0
19,-138.04,0,1.0
20,-374.40,0,1.0
21,-105.19,0,1.0
22,-312.29,0,1.0
23,-312.13,0,1.0
24,-333.03,0,1.0
25,-326.26,0,1.0
26,-372.28,0,1.0
27,-177.23,0,1.0
28,-168.25,0,1.0
29,-46.95,0,1.0
30,-195.53,0,1.0
31,-385.65,0,1.0
32,-152.31,0,1.0
33,-327.72,0,1.0
34,-48.82,0,1.0
35,-122.67,0,1.0
36,-67.50,0,1.0
37,-323.57,0,1.0
38,-124.94,0,1.0
39,-34.08,0,1.0
40,-7.69,0,1.0
41,-406.64,0,1.0
42,-194.79,0,1.0
43,-226.24,0,1.0
44,-69.96,0,1.0
45,-325.95,0,1.0
46,-132.84,0,1.0
47,38.14,0,1.0
48,-98.05,0,1.0
49,-24.57,0,1.0
50,43.49,0,1.0
51,-144.79,0,1.0
52,78.36,0,1.0
53,-143.56,0,1.0
1,-163.25,0,1.0
2,-69.70,0,1.0
3,-170.09,0,1.0
4,-86.14,0,1.0
5,-243.21,0,1.0
6,-121.29,0,1.0
7,-86.18,0,1.0
8,-151.18,0,1.0
9,-147.86,0,1.0
10,-48.55,0,1.0
11,-131.24,0,1.0
12,-69.29,0,1.0
13,-169.35,0,1.0
14,-131.15,0,1.0
15,-133.96,0,1.0
16,67.48,0,1.0
17,-51.55,0,1.0
18,-58.02,0,1.0
19,-169.67,0,1.0
20,-45.37,0,1.0
21,-61.78,0,1.0
22,-146.45,0,1.0
23,-132.22,0,1.0
24,-39.44,0,1.0
25,32.40,0,1.0
26,-129.32,0,1.0
27,0.27,0,1.0
28,-147.99,0,1.0
29,-154.36,0,1.0
30,-161.84,0,1.0
31,-26.89,0,1.0
32,-120.31,0,1.0
33,-110.82,0,1.0
34,-41.43,0,1.0
35,-49.13,0,1.0
36,-292.17,0,1.0
37,-8.19,0,1.0
38,-196.61,0,1.0
39,-32.84,0,1.0
40,-84.93,0,1.0
41,-126.75,0,1.0
42,-269.32,0,1.0
43,-279.98,0,1.0
44,146.53,0,1.0
45,-104.66,0,1.0
46,-264.69,0,1.0
47,-275.90,0,1.0
48,-244.90,0,1.0
49,-77.90,0,1.0
50,-4.89,0,1.0
51,-332.15,0,1.0
