episode_in_level,episode_global,reward
1,51,198.32711437158287
2,52,153.89741784741636
3,53,-172.57001307979226
4,54,-219.9698117512744
5,55,180.62001465656795
6,56,180.22556442767382
7,57,-180.07172388071194
8,58,186.75042239198228
9,59,132.0224951907294
10,60,151.40481969946995
11,61,195.69544521719217
12,62,196.15923921921058
13,63,-266.54685507147224
14,64,86.22328935316182
15,65,205.04021061956882
16,66,113.56221955547517
17,67,117.25673640123568
18,68,121.58780941006262
19,69,177.95378636196256
20,70,166.69637270551175
21,71,193.28521728515625
22,72,162.5586604793789
23,73,110.01317788660526
24,74,191.0351901948452
25,75,114.27864485885948
26,76,174.868320929294
27,77,195.94211343303323
28,78,200.54564253491117
29,79,192.77873523533344
30,80,167.55219691595994
31,81,198.08304003626108
32,82,168.82812774527702
33,83,138.5865349136293
34,84,190.1223731886712
35,85,95.34980344620999
36,86,171.1118266445701
37,87,194.88028261065483
38,88,84.84644223051146
39,89,198.48965312168002
40,90,200.50580706517212
41,91,179.39064445975237
42,92,145.95102638751268
43,93,176.05590348411351
44,94,192.9864126672037
45,95,197.88058169186115
46,96,122.28544216114096
47,97,-172.25824436882976
48,98,183.75668932520784
49,99,193.81956177949905
50,100,199.38062584865838
